hotel,is_canceled,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,is_repeated_customer,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,required_car_parking_spaces,totalno_of_special_requests,booking_year,booking_month,booking_day,booking_day_of_week,arrival_year,arrival_month,arrival_day,arrival_day_of_week
1,0,2,5,2,0,3,51,5,3,0,0,0,0,0,0,0,134.0,0,2,0,1,2018,3,28,2,2018,7,2,0
1,0,2,5,2,0,3,135,5,3,0,0,0,0,0,0,0,134.0,0,2,0,1,2018,3,11,6,2018,7,4,2
1,0,2,5,2,0,3,59,6,3,0,0,0,0,0,0,0,147.0,0,2,0,0,2018,5,13,6,2018,7,4,2
1,0,0,4,2,0,3,135,5,3,0,0,0,0,0,0,0,105.0,0,2,0,1,2018,4,16,0,2018,7,8,6
1,0,2,3,2,0,3,133,5,3,0,0,0,0,0,0,0,177.0,0,2,0,0,2018,4,23,0,2018,7,9,0
1,0,1,1,2,0,3,51,5,3,0,0,0,0,0,0,0,175.0,0,2,0,0,2018,5,1,1,2018,7,11,2
1,0,2,5,2,0,3,59,5,3,0,0,0,0,0,0,0,147.0,0,2,0,0,2018,4,22,6,2018,7,12,3
1,0,1,1,2,0,3,51,6,3,0,0,0,0,0,0,0,147.0,0,2,0,2,2018,5,12,5,2018,7,13,4
1,0,2,5,2,0,3,59,5,3,0,0,0,0,0,0,0,142.0,0,2,0,0,2018,6,4,0,2018,7,17,1
1,0,1,4,2,0,3,51,5,3,0,0,0,0,0,0,0,175.0,0,2,0,0,2018,6,9,5,2018,7,20,4
1,0,2,5,2,0,1,51,5,3,0,0,0,0,0,0,0,175.0,0,2,0,0,2018,6,8,4,2018,7,20,4
1,0,0,2,2,0,3,51,5,3,0,0,0,0,0,0,0,134.0,0,2,0,0,2018,6,15,4,2018,7,24,1
1,0,2,2,2,0,3,3,5,3,0,0,0,0,0,0,0,177.0,0,2,0,0,2018,6,26,1,2018,7,24,1
1,1,2,5,2,0,1,135,5,3,0,0,0,0,0,0,0,175.0,0,2,0,1,2018,6,11,0,2018,7,24,1
1,0,2,5,2,0,3,59,5,3,0,0,0,0,0,0,0,142.0,0,2,0,0,2018,6,11,0,2018,7,26,3
1,1,1,3,2,0,3,135,5,3,0,0,0,0,0,0,0,171.0,0,2,0,1,2018,5,14,0,2018,7,27,4
1,0,1,4,2,0,3,135,5,3,0,0,0,0,0,0,0,5.0,0,2,0,0,2018,6,27,2,2018,7,27,4
1,0,2,5,2,0,3,59,5,3,0,0,0,0,0,0,0,142.0,0,2,0,0,2018,6,19,1,2018,7,27,4
1,0,0,4,2,0,3,51,5,3,0,0,0,0,0,0,0,177.0,0,2,0,1,2018,6,26,1,2018,7,28,5
1,0,0,4,2,0,3,140,5,3,0,0,0,0,0,0,0,171.0,0,2,0,1,2018,6,29,4,2018,7,28,5
1,0,1,1,2,0,3,135,5,3,0,0,0,0,0,0,0,67.0,0,2,0,0,2018,3,25,6,2018,8,1,2
1,1,2,6,2,0,3,135,5,3,0,0,0,0,0,0,0,149.0,0,2,0,0,2018,3,24,5,2018,8,1,2
1,0,2,5,2,0,1,135,5,3,0,0,0,0,0,0,0,175.0,0,2,0,0,2018,5,1,1,2018,8,2,3
1,0,2,5,2,0,3,59,5,3,0,0,0,0,0,0,0,26.0,0,2,0,0,2018,6,2,5,2018,8,9,3
1,1,0,3,2,0,3,135,6,3,0,0,0,0,0,0,0,147.0,0,2,0,1,2018,6,2,5,2018,8,13,0
1,0,1,3,2,0,3,59,6,3,0,0,0,0,0,0,0,147.0,0,2,0,1,2018,5,29,1,2018,8,13,0
1,0,2,5,2,0,3,123,5,3,0,0,0,0,0,0,0,71.0,0,2,0,1,2018,3,17,5,2018,8,14,1
1,0,2,5,2,0,3,123,5,3,0,0,0,0,0,0,0,71.0,0,2,0,0,2018,6,11,0,2018,8,14,1
1,0,2,4,2,0,3,51,5,3,0,0,0,0,0,0,0,134.0,0,2,0,0,2018,5,14,0,2018,8,15,2
1,0,2,5,2,0,3,135,5,3,0,0,0,0,0,0,0,8.0,0,2,0,0,2018,6,11,0,2018,8,15,2
1,0,2,5,2,0,3,76,5,3,0,0,0,0,0,0,0,156.0,0,2,0,0,2018,6,1,4,2018,8,15,2
1,1,4,6,2,0,3,135,5,3,0,0,0,0,0,0,0,134.0,0,2,0,0,2018,3,18,6,2018,8,16,3
1,0,2,5,2,0,3,76,5,3,0,0,0,0,0,0,0,40.0,0,2,0,0,2018,6,4,0,2018,8,17,4
1,0,2,5,2,0,3,76,5,3,0,0,0,0,0,0,0,156.0,0,2,0,0,2018,6,22,4,2018,8,23,3
1,0,2,3,2,0,3,135,5,3,0,0,0,0,0,0,0,147.0,0,2,0,1,2018,4,23,0,2018,8,28,1
1,0,2,1,2,0,3,59,6,3,0,0,0,0,0,0,0,147.0,0,2,0,0,2018,5,19,5,2018,8,30,3
1,0,1,5,2,0,3,76,6,3,0,0,0,0,0,0,0,147.0,0,2,0,0,2018,5,18,4,2018,9,7,4
1,0,2,5,2,0,3,76,6,3,0,0,0,0,0,0,0,147.0,0,2,0,0,2018,5,20,6,2018,9,10,0
1,0,0,5,2,0,3,76,6,3,0,0,0,0,0,0,0,147.0,0,2,0,0,2018,6,8,4,2018,9,15,5
1,0,2,5,2,0,3,59,5,3,0,0,0,0,0,0,0,175.0,0,2,0,0,2018,6,22,4,2018,9,17,0
